sex,raceEthnicity,foreign,period,majorCauses,age,pop,deaths,ASDR
Male,Asian,Foreign-Born,2017-2019,Total,85+,250142.8901352982,21492,8591.88921515032
Male,Asian,Foreign-Born,2020,Total,25-34,1105113.1416973635,615,55.65041051411354
Male,Asian,Foreign-Born,2020,Total,35-44,1220385.7670630116,1309,107.26116571731642
Male,Asian,Foreign-Born,2020,Total,45-54,1153254.722733647,2982,258.5725374643634
Male,Asian,Foreign-Born,2020,Total,55-64,922458.8833200876,6128,664.311451795475
Male,Asian,Foreign-Born,2020,Total,65-74,638833.1010969903,9519,1490.0605469024977
Male,Asian,Foreign-Born,2020,Total,75-84,301832.77757231623,11349,3760.0290105274894
Male,Asian,Foreign-Born,2020,Total,85+,99286.32598784196,10335,10409.28838606191
Male,Asian,US-Born,2017-2019,Total,25-34,1847750.3600530494,1581,85.56350653096932
Male,Asian,US-Born,2017-2019,Total,35-44,984460.9342775824,1388,140.99086633829128
Male,Asian,US-Born,2017-2019,Total,45-54,522463.9321153602,1716,328.4437249193896
Male,Asian,US-Born,2017-2019,Total,55-64,415081.5702490804,2992,720.8221743510735
Male,Asian,US-Born,2017-2019,Total,65-74,268011.006947944,3784,1411.882311510799
Male,Asian,US-Born,2017-2019,Total,75-84,117429.73619067654,4006,3411.4016857665906
Male,Asian,US-Born,2017-2019,Total,85+,69281.10986470182,7039,10160.056635562523
Male,Asian,US-Born,2020,Total,25-34,633169.8583026364,682,107.71201298625688
Male,Asian,US-Born,2020,Total,35-44,357980.2329369883,706,197.21759333126928
Male,Asian,US-Born,2020,Total,45-54,181212.27726635293,776,428.227055973368
Male,Asian,US-Born,2020,Total,55-64,134519.11667991243,1195,888.349574018908
Male,Asian,US-Born,2020,Total,65-74,91382.89890300967,1523,1666.6137956692032
Male,Asian,US-Born,2020,Total,75-84,43808.222427683766,1545,3526.735198056488
Male,Asian,US-Born,2020,Total,85+,23528.674012158055,2539,10791.088348999241
